Quadro,Momento_Jogo,Setor,Numero_Camisa,Posicao_Tatica,Coordenada_X,Coordenada_Y,Acao_Executada,Intensidade_Pressao,Zona_Campo,Velocidade_KmH
17,Organizacao Ofensiva,Ataque,9,Centroavante,579.01,499.42,Protecao de Bola de Costa,Alta,Ultimo Terço,17.6
18,Organizacao Ofensiva,Ataque,7,Ponta Direita,947.99,552.72,Desmarcacao de Rotura em Extensao,Alta,Ultimo Terço,24.9
19,Organizacao Ofensiva,Meio-Campo,8,Segundo Volante,824.95,523.94,Linha de Passe Intermedia,Media,Bloco Intermediario,16.2
20,Organizacao Ofensiva,Ataque,11,Ponta Esquerda,940.63,551.94,Diagonal de Remate Cruzado,Alta,Zona de Finalizacao,26.1
21,Organizacao Defensiva,Defesa,3,Zagueiro Esquerdo,939.02,552.03,Bloqueio de Remate Direto,Alta,Area Defensiva,18.9
22,Transicao Defensiva,Meio-Campo,5,Volante,935.33,552.97,Retirada de Linha Defensiva,Alta,Bloco Baixo,20.1
23,Bolas Paradas,Ataque,4,Zagueiro Central,930.88,553.47,Cabeca em Zona de Oportunidade,Alta,Area Ofensiva,21.4
24,Organizacao Ofensiva,Meio-Campo,10,Meia-Atacante,927.92,554.72,Passe de Seguranca Lateral,Baixa,Bloco Intermediario,12.8
25,Organizacao Ofensiva,Defesa,2,Lateral Direito,1677.77,511.42,Apoio Profundo pelo Corredor,Media,Primeiro Terço,17.5
26,Organizacao Ofensiva,Meio-Campo,8,Segundo Volante,839.75,523.77,Mudanca de Orientacao Tectica,Alta,Bloco Intermediario,19.8
27,Organizacao Ofensiva,Ataque,9,Centroavante,1670.77,512.19,Finta de Corpo com Desmarcacao,Alta,Zona de Finalizacao,23.4
28,Organizacao Ofensiva,Meio-Campo,10,Meia-Atacante,1668.10,512.33,Passe em Profundidade Cirurgico,Alta,Ultimo Terço,25.6
29,Organizacao Ofensiva,Ataque,7,Ponta Direita,919.57,553.55,Finta 1x1 na Linha de Fundo,Alta,Ultimo Terço,24.2
30,Organizacao Defensiva,Meio-Campo,6,Lateral Esquerdo,913.65,553.65,Duelo Terrestre Vencido,Alta,Bloco Baixo,22.1
